SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22025,1610612742,DAL,Dallas Mavericks,0022500791,2026-02-12,DAL @ LAL,L,239,104,39,79,0.494,7,26,0.269,19,25,0.76,4,24,28,22,7,1,15,18,-20.0
22025,1610612742,DAL,Dallas Mavericks,0022500773,2026-02-10,DAL @ PHX,L,239,111,37,77,0.481,5,22,0.227,32,44,0.727,8,34,42,18,7,5,16,12,-9.0
22025,1610612742,DAL,Dallas Mavericks,0022500749,2026-02-07,DAL @ SAS,L,239,125,46,105,0.438,15,37,0.405,18,24,0.75,12,29,41,35,10,4,7,16,-13.0
22025,1610612742,DAL,Dallas Mavericks,0022500738,2026-02-05,DAL vs. SAS,L,241,123,47,97,0.485,12,31,0.387,17,20,0.85,7,34,41,23,9,8,9,20,-12.0
22025,1610612742,DAL,Dallas Mavericks,0022500721,2026-02-03,DAL vs. BOS,L,240,100,37,89,0.416,9,32,0.281,17,22,0.773,13,36,49,21,4,4,9,11,-10.0
22025,1610612742,DAL,Dallas Mavericks,0022500701,2026-01-31,DAL @ HOU,L,240,107,41,92,0.446,10,23,0.435,15,26,0.577,11,37,48,19,3,4,11,12,-4.0
22025,1610612742,DAL,Dallas Mavericks,0022500683,2026-01-29,DAL vs. CHA,L,239,121,48,103,0.466,11,33,0.333,14,16,0.875,13,37,50,26,7,8,8,15,-2.0
22025,1610612742,DAL,Dallas Mavericks,0022500677,2026-01-28,DAL vs. MIN,L,240,105,38,84,0.452,3,18,0.167,26,39,0.667,14,36,50,22,6,3,17,19,-13.0
22025,1610612742,DAL,Dallas Mavericks,0022500648,2026-01-24,DAL vs. LAL,L,240,110,39,94,0.415,10,29,0.345,22,29,0.759,11,32,43,22,10,6,11,19,-6.0
22025,1610612742,DAL,Dallas Mavericks,0022500630,2026-01-22,DAL vs. GSW,W,241,123,43,86,0.5,13,35,0.371,24,30,0.8,11,43,54,25,6,6,21,17,8.0
22025,1610612742,DAL,Dallas Mavericks,0022500016,2026-01-19,DAL @ NYK,W,240,114,40,82,0.488,15,32,0.469,19,28,0.679,7,42,49,25,9,5,17,21,17.0
22025,1610612742,DAL,Dallas Mavericks,0022500593,2026-01-17,DAL vs. UTA,W,240,138,49,91,0.538,18,41,0.439,22,36,0.611,13,31,44,36,8,2,11,18,18.0
22025,1610612742,DAL,Dallas Mavericks,0022500583,2026-01-15,DAL vs. UTA,W,241,144,55,97,0.567,19,46,0.413,15,19,0.789,9,37,46,37,13,7,13,19,22.0
22025,1610612742,DAL,Dallas Mavericks,0022500575,2026-01-14,DAL vs. DEN,L,239,109,41,93,0.441,5,34,0.147,22,33,0.667,13,34,47,16,6,3,6,20,-9.0
22025,1610612742,DAL,Dallas Mavericks,0022500561,2026-01-12,DAL vs. BKN,W,240,113,43,85,0.506,15,34,0.441,12,16,0.75,9,28,37,28,9,3,12,16,8.0
22025,1610612742,DAL,Dallas Mavericks,0022500546,2026-01-10,DAL @ CHI,L,240,107,39,91,0.429,13,35,0.371,16,25,0.64,9,33,42,25,7,6,14,13,-18.0
22025,1610612742,DAL,Dallas Mavericks,0022500531,2026-01-08,DAL @ UTA,L,241,114,44,85,0.518,15,36,0.417,11,13,0.846,9,38,47,30,4,2,20,13,-2.0
